Id,CodeArticle,CodeBarre,Libelle,CodeDim1,LibelleDim1,CodeDim2,LibelleDim2,Fournisseur,FamilleNiv1,FamilleNiv2,FamilleNiv3,FamilleNiv4,FamilleNiv5,FamilleNiv6,FamilleNiv7,FamilleNiv8,Quantite_Achat,DateLibre,Prix_Vente_TND,Prix_Achat_TND,IdCategorie
92,ART000092,1234560000092,HP Ordinateur portable,DIM1-92,Dimension 1 Article 92,DIM2-92,Dimension 2 Article 92,Carrefour Tunisie,Famille1-92,Famille2-92,Famille3-92,Famille4-92,Famille5-92,Famille6-92,Famille7-92,Famille8-92,31,2026-06-16,2458.9,1838.4,CAT008
93,ART000093,1234560000093,Huawei Smartphone,DIM1-93,Dimension 1 Article 93,DIM2-93,Dimension 2 Article 93,Sony Middle East,Famille1-93,Famille2-93,Famille3-93,Famille4-93,Famille5-93,Famille6-93,Famille7-93,Famille8-93,6,2025-02-12,2122.98,1632.37,CAT009
94,ART000094,1234560000094,Dove Savon,DIM1-94,Dimension 1 Article 94,DIM2-94,Dimension 2 Article 94,Adidas MENA,Famille1-94,Famille2-94,Famille3-94,Famille4-94,Famille5-94,Famille6-94,Famille7-94,Famille8-94,70,2024-08-07,10.99,8.51,CAT004
95,ART000095,1234560000095,IKEA Oreiller,DIM1-95,Dimension 1 Article 95,DIM2-95,Dimension 2 Article 95,L'Oréal Tunisie,Famille1-95,Famille2-95,Famille3-95,Famille4-95,Famille5-95,Famille6-95,Famille7-95,Famille8-95,14,2026-04-20,77.74,49.11,CAT005
96,ART000096,1234560000096,Vitalait Yaourt,DIM1-96,Dimension 1 Article 96,DIM2-96,Dimension 2 Article 96,Nestlé Tunisia,Famille1-96,Famille2-96,Famille3-96,Famille4-96,Famille5-96,Famille6-96,Famille7-96,Famille8-96,97,2025-05-03,3.27,2.33,CAT003
97,ART000097,1234560000097,Exide Batterie,DIM1-97,Dimension 1 Article 97,DIM2-97,Dimension 2 Article 97,Nestlé Tunisia,Famille1-97,Famille2-97,Famille3-97,Famille4-97,Famille5-97,Famille6-97,Famille7-97,Famille8-97,54,2024-11-24,206.35,149.72,CAT007
98,ART000098,1234560000098,Samsung Réfrigérateur,DIM1-98,Dimension 1 Article 98,DIM2-98,Dimension 2 Article 98,Sony Middle East,Famille1-98,Famille2-98,Famille3-98,Famille4-98,Famille5-98,Famille6-98,Famille7-98,Famille8-98,86,2025-05-25,1732.23,1042.33,CAT001
99,ART000099,1234560000099,Dove Savon,DIM1-99,Dimension 1 Article 99,DIM2-99,Dimension 2 Article 99,L'Oréal Tunisie,Famille1-99,Famille2-99,Famille3-99,Famille4-99,Famille5-99,Famille6-99,Famille7-99,Famille8-99,88,2026-02-20,8.0,5.34,CAT004
100,ART000100,1234560000100,Omron Thermomètre,DIM1-100,Dimension 1 Article 100,DIM2-100,Dimension 2 Article 100,L'Oréal Tunisie,Famille1-100,Famille2-100,Famille3-100,Famille4-100,Famille5-100,Famille6-100,Famille7-100,Famille8-100,71,2025-05-17,26.63,16.34,CAT010
101,ART000101,1234560000101,Philips Lampe,DIM1-101,Dimension 1 Article 101,DIM2-101,Dimension 2 Article 101,Nestlé Tunisia,Famille1-101,Famille2-101,Famille3-101,Famille4-101,Famille5-101,Famille6-101,Famille7-101,Famille8-101,15,2025-01-13,118.65,86.54,CAT005
102,ART000102,1234560000102,Zara Robe,DIM1-102,Dimension 1 Article 102,DIM2-102,Dimension 2 Article 102,Nike Middle East,Famille1-102,Famille2-102,Famille3-102,Famille4-102,Famille5-102,Famille6-102,Famille7-102,Famille8-102,78,2026-03-08,141.92,94.0,CAT002
103,ART000103,1234560000103,Bridgestone Pneu,DIM1-103,Dimension 1 Article 103,DIM2-103,Dimension 2 Article 103,Géant Tunisia,Famille1-103,Famille2-103,Famille3-103,Famille4-103,Famille5-103,Famille6-103,Famille7-103,Famille8-103,78,2025-02-04,480.55,354.71,CAT007
104,ART000104,1234560000104,Panzani Pâtes,DIM1-104,Dimension 1 Article 104,DIM2-104,Dimension 2 Article 104,Danone Tunisia,Famille1-104,Famille2-104,Famille3-104,Famille4-104,Famille5-104,Famille6-104,Famille7-104,Famille8-104,74,2025-03-16,6.61,4.82,CAT003
105,ART000105,1234560000105,Varta Batterie,DIM1-105,Dimension 1 Article 105,DIM2-105,Dimension 2 Article 105,Carrefour Tunisie,Famille1-105,Famille2-105,Famille3-105,Famille4-105,Famille5-105,Famille6-105,Famille7-105,Famille8-105,97,2026-04-20,233.88,155.88,CAT007
106,ART000106,1234560000106,Adidas Chaussures de sport,DIM1-106,Dimension 1 Article 106,DIM2-106,Dimension 2 Article 106,Nike Middle East,Famille1-106,Famille2-106,Famille3-106,Famille4-106,Famille5-106,Famille6-106,Famille7-106,Famille8-106,94,2025-02-15,217.05,140.46,CAT006
107,ART000107,1234560000107,Signal Dentifrice,DIM1-107,Dimension 1 Article 107,DIM2-107,Dimension 2 Article 107,Apple MENA,Famille1-107,Famille2-107,Famille3-107,Famille4-107,Famille5-107,Famille6-107,Famille7-107,Famille8-107,12,2025-02-01,17.14,13.54,CAT004
108,ART000108,1234560000108,Apple Chargeur,DIM1-108,Dimension 1 Article 108,DIM2-108,Dimension 2 Article 108,Nestlé Tunisia,Famille1-108,Famille2-108,Famille3-108,Famille4-108,Famille5-108,Famille6-108,Famille7-108,Famille8-108,44,2025-12-27,48.1,33.97,CAT009
109,ART000109,1234560000109,Apple Chargeur,DIM1-109,Dimension 1 Article 109,DIM2-109,Dimension 2 Article 109,Carrefour Tunisie,Famille1-109,Famille2-109,Famille3-109,Famille4-109,Famille5-109,Famille6-109,Famille7-109,Famille8-109,61,2026-04-14,28.82,18.47,CAT009
110,ART000110,1234560000110,IKEA Lampe,DIM1-110,Dimension 1 Article 110,DIM2-110,Dimension 2 Article 110,Danone Tunisia,Famille1-110,Famille2-110,Famille3-110,Famille4-110,Famille5-110,Famille6-110,Famille7-110,Famille8-110,75,2025-11-16,86.82,55.36,CAT005
111,ART000111,1234560000111,Nike Ballon de football,DIM1-111,Dimension 1 Article 111,DIM2-111,Dimension 2 Article 111,Sony Middle East,Famille1-111,Famille2-111,Famille3-111,Famille4-111,Famille5-111,Famille6-111,Famille7-111,Famille8-111,66,2025-11-24,32.6,25.28,CAT006
112,ART000112,1234560000112,Supradyn Vitamines,DIM1-112,Dimension 1 Article 112,DIM2-112,Dimension 2 Article 112,Monoprix,Famille1-112,Famille2-112,Famille3-112,Famille4-112,Famille5-112,Famille6-112,Famille7-112,Famille8-112,25,2026-06-09,30.57,24.11,CAT010
113,ART000113,1234560000113,Mobilia Oreiller,DIM1-113,Dimension 1 Article 113,DIM2-113,Dimension 2 Article 113,Danone Tunisia,Famille1-113,Famille2-113,Famille3-113,Famille4-113,Famille5-113,Famille6-113,Famille7-113,Famille8-113,52,2026-03-21,49.96,37.19,CAT005
114,ART000114,1234560000114,Olio Huile d'olive,DIM1-114,Dimension 1 Article 114,DIM2-114,Dimension 2 Article 114,Géant Tunisia,Famille1-114,Famille2-114,Famille3-114,Famille4-114,Famille5-114,Famille6-114,Famille7-114,Famille8-114,43,2025-11-30,31.02,19.05,CAT003
115,ART000115,1234560000115,Beurer Thermomètre,DIM1-115,Dimension 1 Article 115,DIM2-115,Dimension 2 Article 115,Monoprix,Famille1-115,Famille2-115,Famille3-115,Famille4-115,Famille5-115,Famille6-115,Famille7-115,Famille8-115,72,2024-09-19,25.67,18.9,CAT010
116,ART000116,1234560000116,Shell Huile moteur,DIM1-116,Dimension 1 Article 116,DIM2-116,Dimension 2 Article 116,Adidas MENA,Famille1-116,Famille2-116,Famille3-116,Famille4-116,Famille5-116,Famille6-116,Famille7-116,Famille8-116,76,2025-10-01,78.09,48.79,CAT007
117,ART000117,1234560000117,Varta Batterie,DIM1-117,Dimension 1 Article 117,DIM2-117,Dimension 2 Article 117,L'Oréal Tunisie,Famille1-117,Famille2-117,Famille3-117,Famille4-117,Famille5-117,Famille6-117,Famille7-117,Famille8-117,57,2025-06-12,272.65,193.91,CAT007
118,ART000118,1234560000118,Wilson Raquette de tennis,DIM1-118,Dimension 1 Article 118,DIM2-118,Dimension 2 Article 118,Carrefour Tunisie,Famille1-118,Famille2-118,Famille3-118,Famille4-118,Famille5-118,Famille6-118,Famille7-118,Famille8-118,71,2025-12-15,352.59,276.83,CAT006
119,ART000119,1234560000119,Head&Shoulders Shampoing,DIM1-119,Dimension 1 Article 119,DIM2-119,Dimension 2 Article 119,Nike Middle East,Famille1-119,Famille2-119,Famille3-119,Famille4-119,Famille5-119,Famille6-119,Famille7-119,Famille8-119,90,2025-06-19,39.1,28.59,CAT004
120,ART000120,1234560000120,Pull&Bear Pantalon,DIM1-120,Dimension 1 Article 120,DIM2-120,Dimension 2 Article 120,Apple MENA,Famille1-120,Famille2-120,Famille3-120,Famille4-120,Famille5-120,Famille6-120,Famille7-120,Famille8-120,94,2025-12-19,139.74,91.75,CAT002
121,ART000121,1234560000121,IKEA Tapis,DIM1-121,Dimension 1 Article 121,DIM2-121,Dimension 2 Article 121,Samsung Tunisia,Famille1-121,Famille2-121,Famille3-121,Famille4-121,Famille5-121,Famille6-121,Famille7-121,Famille8-121,62,2026-01-29,185.05,121.08,CAT005
122,ART000122,1234560000122,Logitech Souris,DIM1-122,Dimension 1 Article 122,DIM2-122,Dimension 2 Article 122,Puma Tunisia,Famille1-122,Famille2-122,Famille3-122,Famille4-122,Famille5-122,Famille6-122,Famille7-122,Famille8-122,53,2024-06-27,75.8,55.93,CAT008
123,ART000123,1234560000123,Palmolive Savon,DIM1-123,Dimension 1 Article 123,DIM2-123,Dimension 2 Article 123,Carrefour Tunisie,Famille1-123,Famille2-123,Famille3-123,Famille4-123,Famille5-123,Famille6-123,Famille7-123,Famille8-123,21,2025-03-08,11.72,8.27,CAT004
124,ART000124,1234560000124,Adidas Ballon de football,DIM1-124,Dimension 1 Article 124,DIM2-124,Dimension 2 Article 124,Nike Middle East,Famille1-124,Famille2-124,Famille3-124,Famille4-124,Famille5-124,Famille6-124,Famille7-124,Famille8-124,64,2025-09-14,31.22,23.41,CAT006
125,ART000125,1234560000125,Braun Thermomètre,DIM1-125,Dimension 1 Article 125,DIM2-125,Dimension 2 Article 125,Apple MENA,Famille1-125,Famille2-125,Famille3-125,Famille4-125,Famille5-125,Famille6-125,Famille7-125,Famille8-125,83,2024-06-18,65.45,51.25,CAT010
126,ART000126,1234560000126,H&M Robe,DIM1-126,Dimension 1 Article 126,DIM2-126,Dimension 2 Article 126,Nike Middle East,Famille1-126,Famille2-126,Famille3-126,Famille4-126,Famille5-126,Famille6-126,Famille7-126,Famille8-126,45,2025-01-27,106.85,66.93,CAT002
127,ART000127,1234560000127,Pull&Bear Pantalon,DIM1-127,Dimension 1 Article 127,DIM2-127,Dimension 2 Article 127,Apple MENA,Famille1-127,Famille2-127,Famille3-127,Famille4-127,Famille5-127,Famille6-127,Famille7-127,Famille8-127,68,2025-11-12,121.05,75.68,CAT002
128,ART000128,1234560000128,Mobil Huile moteur,DIM1-128,Dimension 1 Article 128,DIM2-128,Dimension 2 Article 128,Géant Tunisia,Famille1-128,Famille2-128,Famille3-128,Famille4-128,Famille5-128,Famille6-128,Famille7-128,Famille8-128,64,2024-11-24,59.75,47.67,CAT007
129,ART000129,1234560000129,Beko Réfrigérateur,DIM1-129,Dimension 1 Article 129,DIM2-129,Dimension 2 Article 129,LG Electronics,Famille1-129,Famille2-129,Famille3-129,Famille4-129,Famille5-129,Famille6-129,Famille7-129,Famille8-129,64,2025-01-18,1960.59,1473.68,CAT001
130,ART000130,1234560000130,Samsung Chargeur,DIM1-130,Dimension 1 Article 130,DIM2-130,Dimension 2 Article 130,Nestlé Tunisia,Famille1-130,Famille2-130,Famille3-130,Famille4-130,Famille5-130,Famille6-130,Famille7-130,Famille8-130,31,2025-07-27,30.29,23.89,CAT009
131,ART000131,1234560000131,Nivea Savon,DIM1-131,Dimension 1 Article 131,DIM2-131,Dimension 2 Article 131,Puma Tunisia,Famille1-131,Famille2-131,Famille3-131,Famille4-131,Famille5-131,Famille6-131,Famille7-131,Famille8-131,11,2026-02-20,11.01,6.69,CAT004
132,ART000132,1234560000132,Pull&Bear Pantalon,DIM1-132,Dimension 1 Article 132,DIM2-132,Dimension 2 Article 132,Géant Tunisia,Famille1-132,Famille2-132,Famille3-132,Famille4-132,Famille5-132,Famille6-132,Famille7-132,Famille8-132,67,2026-03-21,131.04,104.7,CAT002
133,ART000133,1234560000133,Danone Yaourt,DIM1-133,Dimension 1 Article 133,DIM2-133,Dimension 2 Article 133,Adidas MENA,Famille1-133,Famille2-133,Famille3-133,Famille4-133,Famille5-133,Famille6-133,Famille7-133,Famille8-133,4,2025-10-23,3.88,2.81,CAT003
134,ART000134,1234560000134,Corsair Clavier,DIM1-134,Dimension 1 Article 134,DIM2-134,Dimension 2 Article 134,Unilever North Africa,Famille1-134,Famille2-134,Famille3-134,Famille4-134,Famille5-134,Famille6-134,Famille7-134,Famille8-134,84,2024-11-01,105.8,64.38,CAT008
135,ART000135,1234560000135,Sony Télévision LED,DIM1-135,Dimension 1 Article 135,DIM2-135,Dimension 2 Article 135,Adidas MENA,Famille1-135,Famille2-135,Famille3-135,Famille4-135,Famille5-135,Famille6-135,Famille7-135,Famille8-135,4,2025-09-22,1860.96,1271.08,CAT001
136,ART000136,1234560000136,Bosch Batterie,DIM1-136,Dimension 1 Article 136,DIM2-136,Dimension 2 Article 136,Carrefour Tunisie,Famille1-136,Famille2-136,Famille3-136,Famille4-136,Famille5-136,Famille6-136,Famille7-136,Famille8-136,100,2026-05-17,293.19,196.66,CAT007
137,ART000137,1234560000137,IKEA Oreiller,DIM1-137,Dimension 1 Article 137,DIM2-137,Dimension 2 Article 137,Nestlé Tunisia,Famille1-137,Famille2-137,Famille3-137,Famille4-137,Famille5-137,Famille6-137,Famille7-137,Famille8-137,37,2026-05-20,30.19,18.67,CAT005
138,ART000138,1234560000138,Anker Chargeur,DIM1-138,Dimension 1 Article 138,DIM2-138,Dimension 2 Article 138,Nike Middle East,Famille1-138,Famille2-138,Famille3-138,Famille4-138,Famille5-138,Famille6-138,Famille7-138,Famille8-138,23,2026-01-19,43.03,33.17,CAT009
139,ART000139,1234560000139,Huawei Smartphone,DIM1-139,Dimension 1 Article 139,DIM2-139,Dimension 2 Article 139,Nestlé Tunisia,Famille1-139,Famille2-139,Famille3-139,Famille4-139,Famille5-139,Famille6-139,Famille7-139,Famille8-139,91,2024-11-25,1585.25,1028.9,CAT009
140,ART000140,1234560000140,IKEA Tapis,DIM1-140,Dimension 1 Article 140,DIM2-140,Dimension 2 Article 140,Danone Tunisia,Famille1-140,Famille2-140,Famille3-140,Famille4-140,Famille5-140,Famille6-140,Famille7-140,Famille8-140,26,2025-08-26,161.31,105.92,CAT005
141,ART000141,1234560000141,Philips Lampe,DIM1-141,Dimension 1 Article 141,DIM2-141,Dimension 2 Article 141,Carrefour Tunisie,Famille1-141,Famille2-141,Famille3-141,Famille4-141,Famille5-141,Famille6-141,Famille7-141,Famille8-141,68,2025-12-18,82.67,56.94,CAT005
142,ART000142,1234560000142,Délice Yaourt,DIM1-142,Dimension 1 Article 142,DIM2-142,Dimension 2 Article 142,Nike Middle East,Famille1-142,Famille2-142,Famille3-142,Famille4-142,Famille5-142,Famille6-142,Famille7-142,Famille8-142,16,2024-08-22,5.3,3.38,CAT003
143,ART000143,1234560000143,Nike Ballon de football,DIM1-143,Dimension 1 Article 143,DIM2-143,Dimension 2 Article 143,Decathlon Tunisia,Famille1-143,Famille2-143,Famille3-143,Famille4-143,Famille5-143,Famille6-143,Famille7-143,Famille8-143,93,2026-03-02,38.04,23.19,CAT006
144,ART000144,1234560000144,Panzani Pâtes,DIM1-144,Dimension 1 Article 144,DIM2-144,Dimension 2 Article 144,Nike Middle East,Famille1-144,Famille2-144,Famille3-144,Famille4-144,Famille5-144,Famille6-144,Famille7-144,Famille8-144,54,2024-08-22,5.64,4.06,CAT003
145,ART000145,1234560000145,Apple Chargeur,DIM1-145,Dimension 1 Article 145,DIM2-145,Dimension 2 Article 145,Decathlon Tunisia,Famille1-145,Famille2-145,Famille3-145,Famille4-145,Famille5-145,Famille6-145,Famille7-145,Famille8-145,84,2025-05-25,17.47,12.64,CAT009
146,ART000146,1234560000146,IKEA Oreiller,DIM1-146,Dimension 1 Article 146,DIM2-146,Dimension 2 Article 146,Nestlé Tunisia,Famille1-146,Famille2-146,Famille3-146,Famille4-146,Famille5-146,Famille6-146,Famille7-146,Famille8-146,12,2025-03-21,52.47,36.87,CAT005
147,ART000147,1234560000147,Dove Savon,DIM1-147,Dimension 1 Article 147,DIM2-147,Dimension 2 Article 147,Danone Tunisia,Famille1-147,Famille2-147,Famille3-147,Famille4-147,Famille5-147,Famille6-147,Famille7-147,Famille8-147,63,2026-01-15,12.0,8.36,CAT004
148,ART000148,1234560000148,Pull&Bear Pantalon,DIM1-148,Dimension 1 Article 148,DIM2-148,Dimension 2 Article 148,Monoprix,Famille1-148,Famille2-148,Famille3-148,Famille4-148,Famille5-148,Famille6-148,Famille7-148,Famille8-148,3,2026-03-24,59.1,38.67,CAT002
149,ART000149,1234560000149,Varta Batterie,DIM1-149,Dimension 1 Article 149,DIM2-149,Dimension 2 Article 149,LG Electronics,Famille1-149,Famille2-149,Famille3-149,Famille4-149,Famille5-149,Famille6-149,Famille7-149,Famille8-149,12,2025-03-02,282.63,221.07,CAT007
150,ART000150,1234560000150,Microsoft Clavier,DIM1-150,Dimension 1 Article 150,DIM2-150,Dimension 2 Article 150,Géant Tunisia,Famille1-150,Famille2-150,Famille3-150,Famille4-150,Famille5-150,Famille6-150,Famille7-150,Famille8-150,84,2025-12-09,77.32,56.11,CAT008
151,ART000151,1234560000151,Dell Ordinateur portable,DIM1-151,Dimension 1 Article 151,DIM2-151,Dimension 2 Article 151,Unilever North Africa,Famille1-151,Famille2-151,Famille3-151,Famille4-151,Famille5-151,Famille6-151,Famille7-151,Famille8-151,49,2025-09-22,3135.14,2266.38,CAT008
152,ART000152,1234560000152,Beurer Thermomètre,DIM1-152,Dimension 1 Article 152,DIM2-152,Dimension 2 Article 152,Apple MENA,Famille1-152,Famille2-152,Famille3-152,Famille4-152,Famille5-152,Famille6-152,Famille7-152,Famille8-152,52,2025-07-09,35.61,24.06,CAT010
153,ART000153,1234560000153,Zara T-shirt,DIM1-153,Dimension 1 Article 153,DIM2-153,Dimension 2 Article 153,Nestlé Tunisia,Famille1-153,Famille2-153,Famille3-153,Famille4-153,Famille5-153,Famille6-153,Famille7-153,Famille8-153,2,2026-05-29,56.27,40.68,CAT002
154,ART000154,1234560000154,Varta Batterie,DIM1-154,Dimension 1 Article 154,DIM2-154,Dimension 2 Article 154,Danone Tunisia,Famille1-154,Famille2-154,Famille3-154,Famille4-154,Famille5-154,Famille6-154,Famille7-154,Famille8-154,53,2025-12-12,205.65,138.55,CAT007
155,ART000155,1234560000155,HP Ordinateur portable,DIM1-155,Dimension 1 Article 155,DIM2-155,Dimension 2 Article 155,Monoprix,Famille1-155,Famille2-155,Famille3-155,Famille4-155,Famille5-155,Famille6-155,Famille7-155,Famille8-155,4,2026-06-05,1994.91,1364.22,CAT008
156,ART000156,1234560000156,Nike Chaussures de sport,DIM1-156,Dimension 1 Article 156,DIM2-156,Dimension 2 Article 156,Nestlé Tunisia,Famille1-156,Famille2-156,Famille3-156,Famille4-156,Famille5-156,Famille6-156,Famille7-156,Famille8-156,62,2024-12-14,83.52,54.28,CAT006
157,ART000157,1234560000157,LG Réfrigérateur,DIM1-157,Dimension 1 Article 157,DIM2-157,Dimension 2 Article 157,L'Oréal Tunisie,Famille1-157,Famille2-157,Famille3-157,Famille4-157,Famille5-157,Famille6-157,Famille7-157,Famille8-157,15,2025-03-05,1210.15,869.47,CAT001
158,ART000158,1234560000158,Corsair Clavier,DIM1-158,Dimension 1 Article 158,DIM2-158,Dimension 2 Article 158,L'Oréal Tunisie,Famille1-158,Famille2-158,Famille3-158,Famille4-158,Famille5-158,Famille6-158,Famille7-158,Famille8-158,63,2024-06-30,59.3,46.7,CAT008
159,ART000159,1234560000159,Sensodyne Dentifrice,DIM1-159,Dimension 1 Article 159,DIM2-159,Dimension 2 Article 159,Sony Middle East,Famille1-159,Famille2-159,Famille3-159,Famille4-159,Famille5-159,Famille6-159,Famille7-159,Famille8-159,89,2024-08-15,9.01,7.12,CAT004
160,ART000160,1234560000160,Beurer Thermomètre,DIM1-160,Dimension 1 Article 160,DIM2-160,Dimension 2 Article 160,Nike Middle East,Famille1-160,Famille2-160,Famille3-160,Famille4-160,Famille5-160,Famille6-160,Famille7-160,Famille8-160,32,2024-07-03,54.42,36.99,CAT010
161,ART000161,1234560000161,Safi Huile d'olive,DIM1-161,Dimension 1 Article 161,DIM2-161,Dimension 2 Article 161,Carrefour Tunisie,Famille1-161,Famille2-161,Famille3-161,Famille4-161,Famille5-161,Famille6-161,Famille7-161,Famille8-161,98,2024-10-01,26.02,17.07,CAT003
162,ART000162,1234560000162,Pantene Shampoing,DIM1-162,Dimension 1 Article 162,DIM2-162,Dimension 2 Article 162,Adidas MENA,Famille1-162,Famille2-162,Famille3-162,Famille4-162,Famille5-162,Famille6-162,Famille7-162,Famille8-162,93,2024-07-27,15.89,10.0,CAT004
163,ART000163,1234560000163,Pull&Bear Pantalon,DIM1-163,Dimension 1 Article 163,DIM2-163,Dimension 2 Article 163,Nestlé Tunisia,Famille1-163,Famille2-163,Famille3-163,Famille4-163,Famille5-163,Famille6-163,Famille7-163,Famille8-163,32,2024-11-18,135.15,90.8,CAT002
164,ART000164,1234560000164,Samsung Réfrigérateur,DIM1-164,Dimension 1 Article 164,DIM2-164,Dimension 2 Article 164,LG Electronics,Famille1-164,Famille2-164,Famille3-164,Famille4-164,Famille5-164,Famille6-164,Famille7-164,Famille8-164,43,2024-10-29,1260.89,977.13,CAT001
165,ART000165,1234560000165,H&M Robe,DIM1-165,Dimension 1 Article 165,DIM2-165,Dimension 2 Article 165,Samsung Tunisia,Famille1-165,Famille2-165,Famille3-165,Famille4-165,Famille5-165,Famille6-165,Famille7-165,Famille8-165,28,2025-11-09,81.03,50.49,CAT002
166,ART000166,1234560000166,Panzani Pâtes,DIM1-166,Dimension 1 Article 166,DIM2-166,Dimension 2 Article 166,LG Electronics,Famille1-166,Famille2-166,Famille3-166,Famille4-166,Famille5-166,Famille6-166,Famille7-166,Famille8-166,16,2026-04-10,3.49,2.28,CAT003
167,ART000167,1234560000167,Mamma Pâtes,DIM1-167,Dimension 1 Article 167,DIM2-167,Dimension 2 Article 167,L'Oréal Tunisie,Famille1-167,Famille2-167,Famille3-167,Famille4-167,Famille5-167,Famille6-167,Famille7-167,Famille8-167,38,2026-04-27,6.11,4.35,CAT003
168,ART000168,1234560000168,Casa Oreiller,DIM1-168,Dimension 1 Article 168,DIM2-168,Dimension 2 Article 168,Samsung Tunisia,Famille1-168,Famille2-168,Famille3-168,Famille4-168,Famille5-168,Famille6-168,Famille7-168,Famille8-168,13,2025-03-30,50.88,30.62,CAT005
169,ART000169,1234560000169,Corsair Clavier,DIM1-169,Dimension 1 Article 169,DIM2-169,Dimension 2 Article 169,Monoprix,Famille1-169,Famille2-169,Famille3-169,Famille4-169,Famille5-169,Famille6-169,Famille7-169,Famille8-169,89,2025-03-09,54.47,33.8,CAT008
170,ART000170,1234560000170,Zara Pantalon,DIM1-170,Dimension 1 Article 170,DIM2-170,Dimension 2 Article 170,Danone Tunisia,Famille1-170,Famille2-170,Famille3-170,Famille4-170,Famille5-170,Famille6-170,Famille7-170,Famille8-170,11,2024-10-05,98.65,71.69,CAT002
171,ART000171,1234560000171,Samsung Smartphone,DIM1-171,Dimension 1 Article 171,DIM2-171,Dimension 2 Article 171,L'Oréal Tunisie,Famille1-171,Famille2-171,Famille3-171,Famille4-171,Famille5-171,Famille6-171,Famille7-171,Famille8-171,27,2025-02-02,815.41,615.57,CAT009
172,ART000172,1234560000172,Pharmaton Vitamines,DIM1-172,Dimension 1 Article 172,DIM2-172,Dimension 2 Article 172,Géant Tunisia,Famille1-172,Famille2-172,Famille3-172,Famille4-172,Famille5-172,Famille6-172,Famille7-172,Famille8-172,73,2026-04-16,45.04,31.81,CAT010
173,ART000173,1234560000173,Bridgestone Pneu,DIM1-173,Dimension 1 Article 173,DIM2-173,Dimension 2 Article 173,Géant Tunisia,Famille1-173,Famille2-173,Famille3-173,Famille4-173,Famille5-173,Famille6-173,Famille7-173,Famille8-173,89,2026-04-15,434.93,296.01,CAT007
174,ART000174,1234560000174,Medicom Masque facial,DIM1-174,Dimension 1 Article 174,DIM2-174,Dimension 2 Article 174,Unilever North Africa,Famille1-174,Famille2-174,Famille3-174,Famille4-174,Famille5-174,Famille6-174,Famille7-174,Famille8-174,18,2026-04-02,5.78,4.07,CAT010
175,ART000175,1234560000175,Zara Pantalon,DIM1-175,Dimension 1 Article 175,DIM2-175,Dimension 2 Article 175,Géant Tunisia,Famille1-175,Famille2-175,Famille3-175,Famille4-175,Famille5-175,Famille6-175,Famille7-175,Famille8-175,24,2025-08-24,112.86,75.22,CAT002
176,ART000176,1234560000176,Beko Réfrigérateur,DIM1-176,Dimension 1 Article 176,DIM2-176,Dimension 2 Article 176,Decathlon Tunisia,Famille1-176,Famille2-176,Famille3-176,Famille4-176,Famille5-176,Famille6-176,Famille7-176,Famille8-176,23,2025-05-06,1348.39,876.74,CAT001
177,ART000177,1234560000177,Beurer Thermomètre,DIM1-177,Dimension 1 Article 177,DIM2-177,Dimension 2 Article 177,Nestlé Tunisia,Famille1-177,Famille2-177,Famille3-177,Famille4-177,Famille5-177,Famille6-177,Famille7-177,Famille8-177,91,2024-10-31,43.55,31.43,CAT010
178,ART000178,1234560000178,Zituna Huile d'olive,DIM1-178,Dimension 1 Article 178,DIM2-178,Dimension 2 Article 178,L'Oréal Tunisie,Famille1-178,Famille2-178,Famille3-178,Famille4-178,Famille5-178,Famille6-178,Famille7-178,Famille8-178,75,2025-03-24,19.29,12.86,CAT003
179,ART000179,1234560000179,Délice Yaourt,DIM1-179,Dimension 1 Article 179,DIM2-179,Dimension 2 Article 179,Unilever North Africa,Famille1-179,Famille2-179,Famille3-179,Famille4-179,Famille5-179,Famille6-179,Famille7-179,Famille8-179,14,2025-07-29,3.29,2.32,CAT003
180,ART000180,1234560000180,Adidas Chaussures de sport,DIM1-180,Dimension 1 Article 180,DIM2-180,Dimension 2 Article 180,Nike Middle East,Famille1-180,Famille2-180,Famille3-180,Famille4-180,Famille5-180,Famille6-180,Famille7-180,Famille8-180,94,2024-08-11,273.23,190.99,CAT006
181,ART000181,1234560000181,Head&Shoulders Shampoing,DIM1-181,Dimension 1 Article 181,DIM2-181,Dimension 2 Article 181,Nestlé Tunisia,Famille1-181,Famille2-181,Famille3-181,Famille4-181,Famille5-181,Famille6-181,Famille7-181,Famille8-181,66,2024-07-30,26.15,17.57,CAT004
182,ART000182,1234560000182,Pantene Shampoing,DIM1-182,Dimension 1 Article 182,DIM2-182,Dimension 2 Article 182,Carrefour Tunisie,Famille1-182,Famille2-182,Famille3-182,Famille4-182,Famille5-182,Famille6-182,Famille7-182,Famille8-182,38,2026-04-24,31.28,20.59,CAT004
183,ART000183,1234560000183,Panzani Pâtes,DIM1-183,Dimension 1 Article 183,DIM2-183,Dimension 2 Article 183,Nike Middle East,Famille1-183,Famille2-183,Famille3-183,Famille4-183,Famille5-183,Famille6-183,Famille7-183,Famille8-183,11,2026-05-08,5.61,4.21,CAT003
184,ART000184,1234560000184,Microsoft Clavier,DIM1-184,Dimension 1 Article 184,DIM2-184,Dimension 2 Article 184,Monoprix,Famille1-184,Famille2-184,Famille3-184,Famille4-184,Famille5-184,Famille6-184,Famille7-184,Famille8-184,13,2025-05-05,83.15,50.28,CAT008
